iter	Passed	Remaining
0	148	148819
1	152	76250
2	157	52189
3	160	40083
4	164	32812
5	168	27932
6	171	24297
7	174	21576
8	175	19369
9	177	17604
10	179	16154
11	181	14946
12	183	13915
13	184	13020
14	186	12242
15	187	11544
16	188	10928
17	190	10378
18	191	9886
19	192	9442
20	193	9033
21	194	8659
22	195	8318
23	196	8004
24	198	7722
25	199	7469
26	200	7230
27	201	7000
28	202	6784
29	203	6583
30	204	6395
31	205	6219
32	206	6055
33	207	5900
34	208	5752
35	209	5615
36	210	5483
37	211	5358
38	213	5255
39	214	5143
40	215	5035
41	216	4933
42	217	4836
43	218	4743
44	219	4654
45	220	4568
46	221	4487
47	222	4410
48	223	4335
49	224	4263
50	225	4194
51	226	4130
52	227	4073
53	229	4015
54	230	3955
55	231	3898
56	232	3841
57	233	3787
58	234	3735
59	235	3684
60	236	3634
61	237	3588
62	238	3542
63	239	3498
64	240	3455
65	241	3414
66	242	3377
67	243	3339
68	244	3301
69	245	3263
70	246	3226
71	247	3190
72	248	3155
73	249	3123
74	250	3090
75	251	3058
76	252	3027
77	253	2996
78	254	2967
79	255	2943
80	257	2922
81	258	2896
82	259	2866
83	260	2841
84	261	2817
85	262	2793
86	264	2770
87	265	2748
88	266	2725
89	267	2704
90	268	2684
91	270	2665
92	271	2645
93	272	2624
94	273	2603
95	274	2583
96	275	2563
97	276	2543
98	277	2524
99	278	2504
100	279	2486
101	280	2468
102	281	2450
103	282	2432
104	283	2415
105	284	2398
106	285	2382
107	286	2367
108	287	2352
109	288	2336
110	289	2320
111	290	2305
112	291	2290
113	292	2275
114	293	2260
115	294	2246
116	295	2230
117	296	2217
118	297	2206
119	299	2193
120	300	2180
121	301	2168
122	302	2155
123	303	2143
124	304	2130
125	305	2117
126	306	2104
127	307	2092
128	308	2080
129	309	2069
130	310	2057
131	311	2046
132	312	2035
133	313	2024
134	314	2013
135	315	2002
136	316	1994
137	317	1984
138	318	1973
139	319	1963
140	320	1953
141	321	1941
142	322	1931
143	323	1922
144	324	1912
145	325	1902
146	326	1894
147	327	1885
148	328	1876
149	329	1867
150	330	1858
151	331	1849
152	332	1841
153	333	1832
154	334	1823
155	335	1815
156	336	1807
157	337	1798
158	338	1790
159	339	1783
160	340	1774
161	341	1766
162	342	1758
163	343	1751
164	344	1743
165	346	1742
166	348	1739
167	350	1736
168	352	1730
169	353	1724
170	354	1717
171	355	1711
172	356	1705
173	358	1699
174	359	1692
175	359	1685
176	361	1678
177	362	1672
178	363	1665
179	364	1658
180	365	1651
181	366	1645
182	367	1638
183	368	1632
184	369	1625
185	370	1620
186	371	1613
187	372	1607
188	373	1601
189	374	1595
190	375	1590
191	376	1584
192	377	1578
193	378	1572
194	379	1566
195	380	1560
196	381	1554
197	382	1549
198	383	1543
199	384	1538
200	385	1532
201	386	1527
202	387	1521
203	388	1516
204	389	1511
205	390	1506
206	391	1501
207	392	1495
208	393	1490
209	394	1485
210	395	1480
211	397	1478
212	399	1474
213	400	1470
214	401	1466
215	402	1461
216	403	1457
217	405	1453
218	406	1449
219	407	1444
220	408	1440
221	409	1435
222	411	1432
223	412	1427
224	413	1424
225	414	1419
226	415	1415
227	416	1410
228	417	1406
229	418	1401
230	419	1398
231	420	1393
232	422	1389
233	422	1384
234	423	1380
